"N","lambda_bar","cv","D","cap","compliance","decay","phi","trigger_link","trigger_mode","model","beta1","beta_l2","beta_cross","grid","power","mcse_power","power_all","type_s","type_m","bias","rel_bias","emp_se","rmse","coverage","ci_width","conv_rate","R_converged","R_total","mean_n","sd_n","below_k","master_seed","R_requested"
120,4,0.3,14,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.885,0.0100883596287999,0.885,0,1.0793070833279,0.00103611670355717,0.0103611670355717,0.0311570271720847,0.0311586764751524,0.957,0.124276382437803,1,1000,1000,42.0409583333333,14.1907573731398,0.000808333333333333,20260709,1000
150,4,0.3,14,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.942,0.00739161687318817,0.942,0,1.02322437898333,-0.00101254124170977,-0.0101254124170977,0.0274180482135714,0.0274230351755609,0.954,0.111127252290097,1,1000,1000,41.9871933333333,14.178981348093,0.000846666666666666,20260709,1000
20,1,0.9,14,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.143377885783718,0.0122161908604778,0.118,0.0483870967741935,2.87577774021933,0.00319930720892626,0.0319930720892626,0.138592376396659,0.138545095706773,0.938031591737546,0.531567936917142,0.823,823,1000,10.57895,9.74501344888848,0.57845,20260709,1000
40,1,0.9,14,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.244102564102564,0.0137567327032189,0.238,0.00833333333333333,2.09638935330186,0.000457022350236591,0.00457022350236591,0.0932516841529814,0.093204970999426,0.93025641025641,0.341687051523765,0.975,975,1000,10.468925,9.70498585799444,0.57945,20260709,1000
60,1,0.9,14,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.286144578313253,0.0143208311011931,0.285,0,1.77501427111289,-0.00397456087023433,-0.0397456087023433,0.0710577204130404,0.0711331658712627,0.942771084337349,0.27698179532648,0.996,996,1000,10.4215,9.78198793232641,0.584033333333333,20260709,1000
90,1,0.9,14,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.466933867735471,0.0157925755271465,0.466,0,1.50489421452355,0.00456659247163228,0.0456659247163228,0.0566592155018745,0.0568146439572434,0.940881763527054,0.222893445748232,0.998,998,1000,10.4395111111111,9.81245675499087,0.580955555555556,20260709,1000
120,1,0.9,14,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.549,0.015735278834517,0.549,0,1.35531718471327,0.00169060677042861,0.0169060677042861,0.0494149253915628,0.0494191376680581,0.941,0.191208971729089,1,1000,1000,10.525775,9.96877314055524,0.57985,20260709,1000
150,1,0.9,14,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.625,0.0153093108923949,0.625,0,1.261180297748,0.000165590698364707,0.00165590698364707,0.0443089606909739,0.0442871102443605,0.946,0.170166624216077,1,1000,1000,10.4983533333333,9.94081834993329,0.58164,20260709,1000
20,2,0.9,14,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.193074501573977,0.0127859420119598,0.184,0.0264550264550265,2.37935253878163,-0.000448330706022251,-0.00448330706022251,0.109117554926696,0.109061211903102,0.926547743966422,0.404554256458243,0.953,953,1000,20.93165,18.4829382838964,0.33055,20260709,1000
40,2,0.9,14,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.316316316316316,0.0147131499390689,0.316,0,1.72135630674669,-0.00174186012475351,-0.0174186012475351,0.0705399448123073,0.0705261442738703,0.947947947947948,0.277085393722195,0.999,999,1000,21.018,19.1943184471156,0.3345,20260709,1000
60,2,0.9,14,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.438,0.0156893594515519,0.438,0,1.53433594847644,0.00325958150070972,0.0325958150070972,0.0583442947466011,0.0584061430357164,0.938,0.222234451899227,1,1000,1000,21.02645,19.3508727945218,0.333233333333333,20260709,1000
90,2,0.9,14,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.602,0.0154788888490098,0.602,0,1.29742072201833,0.00168335474052253,0.0168335474052253,0.045625317157671,0.0456335576013395,0.944,0.180761910576375,1,1000,1000,20.9395111111111,19.2817767120075,0.334188888888889,20260709,1000
120,2,0.9,14,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.702,0.0144636095080032,0.702,0,1.18173153372474,-0.00101669740852006,-0.0101669740852006,0.0392779150700143,0.0392714340361476,0.954,0.156596252156865,1,1000,1000,20.9412,19.2036860862604,0.334566666666667,20260709,1000
150,2,0.9,14,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.804,0.0125532465920175,0.804,0,1.13141213929478,0.00110108395499871,0.0110108395499871,0.0348200779182041,0.0348200771722226,0.954,0.139332610260842,1,1000,1000,20.9268533333333,19.2989083761346,0.33374,20260709,1000
20,4,0.9,14,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.238383838383838,0.0135421893691652,0.236,0.00421940928270042,2.11227967382603,0.00351787284741756,0.0351787284741756,0.0929352864861305,0.0929549282935542,0.937373737373737,0.350063292721086,0.99,990,1000,42.081,36.8818394694137,0.1614,20260709,1000
40,4,0.9,14,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.391,0.0154311049507156,0.391,0,1.58734387255344,-0.000185723650798428,-0.00185723650798428,0.062983211439169,0.0629519859221482,0.933,0.236457769798408,1,1000,1000,42.206825,37.6686757199116,0.164475,20260709,1000
60,4,0.9,14,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.536,0.0157703519301251,0.536,0,1.3843859418794,-6.27596931124658e-05,-0.000627596931124658,0.053023558810288,0.0529970775599772,0.935,0.193419327947837,1,1000,1000,41.9018,37.6832487207518,0.166633333333333,20260709,1000
90,4,0.9,14,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.704,0.0144355117678592,0.704,0,1.19308334790498,0.000323244233778386,0.00323244233778386,0.0402014366311103,0.0401826310553782,0.953,0.157140997588937,1,1000,1000,41.9585333333333,37.8478461442949,0.166511111111111,20260709,1000
120,4,0.9,14,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.823,0.0120694241784768,0.823,0,1.09463969037023,-0.0011622211099427,-0.011622211099427,0.0337984667894523,0.0338015499477286,0.948,0.135690982295358,1,1000,1000,41.8397833333333,38.0900134414151,0.1679,20260709,1000
150,4,0.9,14,Inf,0.75,0,0.3,0,"poisson",7,0.2,0.3,0.1,"model_7",0.889,0.00993373041711924,0.889,0,1.06316305737901,-0.000213506524770243,-0.00213506524770243,0.0320583419622326,0.0320430200997689,0.946,0.121196953305244,1,1000,1000,42.0035066666667,38.052046393633,0.16694,20260709,1000
