"N","lambda_bar","cv","D","cap","compliance","decay","phi","beta1","trigger_link","grid","power","mcse_power","power_all","type_s","type_m","bias","rel_bias","emp_se","rmse","coverage","ci_width","conv_rate","R_converged","R_total","mean_n","sd_n","below_k","master_seed","R_requested"
40,4,0.3,28,3,0.75,0,0.3,0.2,0,"S1_cap",0.96,0.00619677335393187,0.96,0,1.0143199400668,-0.00187270554386437,-0.00936352771932186,0.0516901770291012,0.05169825483469,0.942,0.204748520431453,1,1000,1000,53.613475,7.93151950018518,2.49999999999998e-05,20260709,1000
90,4,0.3,28,3,0.75,0,0.3,0.2,0,"S1_cap",1,0,1,0,0.997593193446127,-0.000481361310774503,-0.00240680655387251,0.0360580120883777,0.0360431930361523,0.946,0.136989639326648,1,1000,1000,53.6015555555556,8.00633642590836,0,20260709,1000
150,4,0.3,28,3,0.75,0,0.3,0.2,0,"S1_cap",1,0,1,0,0.998927151286982,-0.000214569742603532,-0.00107284871301766,0.0274612161452817,0.0274483207857993,0.937,0.106169890398381,1,1000,1000,53.6791666666667,8.0229483987036,0,20260709,1000
40,1,0.9,28,3,0.75,0,0.3,0.2,0,"S1_cap",0.809619238476954,0.0124275829025015,0.808,0,1.11992036666524,0.00142807060298192,0.00714035301490959,0.0695361693065929,0.0695159928268515,0.939879759519038,0.267510792547711,0.998,998,1000,18.827625,14.4827603116934,0.331925,20260709,1000
90,1,0.9,28,3,0.75,0,0.3,0.2,0,"S1_cap",0.995,0.00223047080231955,0.995,0,1.00103404642592,-0.000374809947258831,-0.00187404973629415,0.0432777375956104,0.0432577171302379,0.96,0.179246099239077,1,1000,1000,18.7962333333333,14.5521940719201,0.331677777777778,20260709,1000
150,1,0.9,28,3,0.75,0,0.3,0.2,0,"S1_cap",1,0,1,0,0.997416602817023,-0.000516679436595335,-0.00258339718297668,0.0351911439394353,0.0351773386258041,0.944,0.138347719224683,1,1000,1000,18.77822,14.5698619697399,0.33476,20260709,1000
40,2,0.9,28,3,0.75,0,0.3,0.2,0,"S1_cap",0.904,0.00931579304192617,0.904,0,1.04065481265214,-0.00273171195564856,-0.0136585597782428,0.0588004899860251,0.0588345338656021,0.954,0.236083983773004,1,1000,1000,30.68355,18.8311625945824,0.165925,20260709,1000
90,2,0.9,28,3,0.75,0,0.3,0.2,0,"S1_cap",1,0,1,0,0.987224960726475,-0.00255500785470508,-0.0127750392735254,0.0387027454745099,0.0387676755802439,0.953,0.157980982589904,1,1000,1000,30.6717555555556,18.9102627316597,0.166444444444444,20260709,1000
150,2,0.9,28,3,0.75,0,0.3,0.2,0,"S1_cap",1,0,1,0,1.00055759744774,0.000111519489547296,0.00055759744773648,0.0306746046606757,0.0306594663409885,0.955,0.12170189375954,1,1000,1000,30.71382,18.9217969360796,0.16704,20260709,1000
40,4,0.9,28,3,0.75,0,0.3,0.2,0,"S1_cap",0.948,0.00702111102319284,0.948,0,1.04343984579691,0.00251888842426062,0.0125944421213031,0.0540250670620642,0.0540567661082621,0.951,0.216929881150808,1,1000,1000,42.768775,19.4531730682815,0.076725,20260709,1000
90,4,0.9,28,3,0.75,0,0.3,0.2,0,"S1_cap",1,0,1,0,1.00301450693997,0.000602901387994903,0.00301450693997452,0.0378100010618313,0.0377959002300386,0.952,0.145872747487675,1,1000,1000,42.9086666666667,19.5484694263394,0.0780555555555556,20260709,1000
150,4,0.9,28,3,0.75,0,0.3,0.2,0,"S1_cap",1,0,1,0,1.00615077487022,0.00123015497404416,0.00615077487022081,0.0282179799517134,0.0282306822344574,0.958,0.113123097306445,1,1000,1000,42.93266,19.5209768869101,0.0775733333333333,20260709,1000
40,1,0.3,14,Inf,0.9,0,0.3,0.2,0,"S2_compliance",0.782828282828283,0.0131044044732444,0.775,0,1.12952397872942,-0.000486910551764169,-0.00243455275882085,0.0747492772969522,0.0747131022305443,0.934343434343434,0.27866342637754,0.99,990,1000,12.601125,5.15557523300881,0.29885,20260709,1000
90,1,0.3,14,Inf,0.9,0,0.3,0.2,0,"S2_compliance",0.986,0.00371537346709587,0.986,0,1.01841004110976,0.00192080966390942,0.00960404831954711,0.0474137352785567,0.0474289335800095,0.938,0.186319692884802,1,1000,1000,12.5968111111111,5.17067401209402,0.298244444444444,20260709,1000
150,1,0.3,14,Inf,0.9,0,0.3,0.2,0,"S2_compliance",1,0,1,0,1.01009308282494,0.00201861656498792,0.0100930828249396,0.0361644826580358,0.036202717424993,0.95,0.144548584770245,1,1000,1000,12.6194333333333,5.17643075118966,0.2968,20260709,1000
40,2,0.3,14,Inf,0.9,0,0.3,0.2,0,"S2_compliance",0.92,0.00857904423581089,0.92,0,1.05433403786381,0.00134824783396015,0.00674123916980074,0.0591602498137945,0.0591460311017935,0.942,0.230848415571022,1,1000,1000,25.21585,9.01169671743844,0.018575,20260709,1000
90,2,0.3,14,Inf,0.9,0,0.3,0.2,0,"S2_compliance",0.999,0.000999499874937461,0.999,0,0.992681480959713,-0.00159631437481597,-0.00798157187407986,0.0395348165695943,0.039547274736112,0.947,0.154066341741661,1,1000,1000,25.2192333333333,9.02507959997165,0.0175111111111111,20260709,1000
150,2,0.3,14,Inf,0.9,0,0.3,0.2,0,"S2_compliance",1,0,1,0,1.00673431308965,0.00134686261793052,0.00673431308965258,0.0306324652035548,0.0306467553818366,0.938,0.119701022433338,1,1000,1000,25.1959866666667,9.04458392058007,0.01848,20260709,1000
40,4,0.3,14,Inf,0.9,0,0.3,0.2,0,"S2_compliance",0.962,0.00604615580348373,0.962,0,1.02893897476844,0.00132243181132269,0.00661215905661344,0.0529590910352464,0.052949121653261,0.944,0.207914293853846,1,1000,1000,50.496475,16.6247115206412,2e-04,20260709,1000
90,4,0.3,14,Inf,0.9,0,0.3,0.2,0,"S2_compliance",1,0,1,0,0.998507563611322,-0.000298487277735515,-0.00149243638867758,0.0336799939007222,0.0336644729918426,0.954,0.138733218712767,1,1000,1000,50.4938111111111,16.6781822033361,0.000244444444444444,20260709,1000
150,4,0.3,14,Inf,0.9,0,0.3,0.2,0,"S2_compliance",1,0,1,0,1.00103930553347,0.000207861106694157,0.00103930553347079,0.0272877493754939,0.0272748941510956,0.958,0.107837279124853,1,1000,1000,50.3569533333333,16.7152523878283,0.000286666666666667,20260709,1000
40,1,0.9,14,Inf,0.9,0,0.3,0.2,0,"S2_compliance",0.715447154471545,0.0143837689277598,0.704,0,1.17439420125841,-0.00184025303497931,-0.00920126517489656,0.0807980253936525,0.0807779237556839,0.935975609756098,0.304798828061849,0.984,984,1000,12.522625,11.623754215972,0.514,20260709,1000
90,1,0.9,14,Inf,0.9,0,0.3,0.2,0,"S2_compliance",0.966,0.00573096850453743,0.966,0,1.01246764495357,-0.00156531291872844,-0.0078265645936422,0.052987198486232,0.0529838255012741,0.937,0.204960474350463,1,1000,1000,12.6659444444444,11.908304031596,0.508255555555556,20260709,1000
150,1,0.9,14,Inf,0.9,0,0.3,0.2,0,"S2_compliance",0.999,0.000999499874937461,0.999,0,0.989053676475192,-0.00231962404903607,-0.0115981202451804,0.040626273581402,0.0406721559145158,0.937,0.157936253230171,1,1000,1000,12.6510866666667,11.8528197053307,0.508486666666667,20260709,1000
40,2,0.9,14,Inf,0.9,0,0.3,0.2,0,"S2_compliance",0.866866866866867,0.0107482196768353,0.866,0,1.08621329454404,0.00192335697572008,0.00961678487860038,0.0646832597149952,0.0646794811142917,0.948948948948949,0.255730753256404,0.999,999,1000,25.16125,22.8840270468562,0.282825,20260709,1000
90,2,0.9,14,Inf,0.9,0,0.3,0.2,0,"S2_compliance",0.995,0.00223047080231955,0.995,0,0.99870204354986,-0.000853174543764157,-0.00426587271882078,0.0425808127432107,0.0425680677863188,0.956,0.170135495629806,1,1000,1000,25.3875333333333,23.091152367327,0.2765,20260709,1000
150,2,0.9,14,Inf,0.9,0,0.3,0.2,0,"S2_compliance",1,0,1,0,1.00382909336662,0.000765818673324176,0.00382909336662088,0.0349068178073413,0.0348977638502225,0.938,0.131633528261026,1,1000,1000,25.09238,22.9263323728689,0.28182,20260709,1000
40,4,0.9,14,Inf,0.9,0,0.3,0.2,0,"S2_compliance",0.928,0.00817410545564467,0.928,0,1.03866248942567,-0.000639594449166253,-0.00319797224583127,0.0577953736107779,0.0577700094050364,0.936,0.222333820215751,1,1000,1000,50.495,45.1953697223145,0.13305,20260709,1000
